"V1","V2","V3"
371.989990234375,18.2999992370605,193.600006103516
372.709991455078,18.2999992370605,194.199996948242
380.140014648438,18.7000007629395,196.199996948242
379.320007324219,19.2000007629395,197.199996948242
375.609985351562,18.7000007629395,208.899993896484
378.420013427734,18,196.100006103516
370.679992675781,17.5,195.100006103516
370.660003662109,16.8999996185303,194.399993896484
377.769989013672,20.6000003814697,210.699996948242
374.5,17.5,196.899993896484
371.350006103516,18.7000007629395,182.699996948242
379.070007324219,19.1000003814697,198.899993896484
375.149993896484,17.3999996185303,195.199996948242
372.399993896484,18.7000007629395,193.899993896484
378.309997558594,18.5,204.399993896484
374.070007324219,17,195.100006103516
378.149993896484,18.2000007629395,197.100006103516
380.029998779297,19.5,197.300003051758
375.299987792969,18.7999992370605,196.5
377.679992675781,19.1000003814697,194.600006103516
381.75,19.7000007629395,195.800003051758
371.529998779297,17.2000007629395,196.199996948242
378.049987792969,18.3999996185303,198
374.619995117188,18.5,193.600006103516
376.019989013672,18.8999996185303,195.600006103516
375.940002441406,17.2999992370605,197
377.089996337891,18.5,196.899993896484
376.980010986328,18.2999992370605,196.600006103516
375.209991455078,18.7000007629395,196.300003051758
380.149993896484,18.5,199.399993896484
377.230010986328,19.7999992370605,195
382.489990234375,19.1000003814697,196.600006103516
377.779998779297,19.2999992370605,197.5
378.920013427734,17.7999992370605,197.199996948242
372.049987792969,16.7999992370605,195.100006103516
377.459991455078,19,196.699996948242
375.899993896484,19.5,195.699996948242
368.630004882812,19.6000003814697,192.100006103516
375.890014648438,19.6000003814697,195.5
374.649993896484,19.7000007629395,195.100006103516
374.299987792969,19.1000003814697,194.100006103516
373.970001220703,20,195
371.880004882812,20,193.100006103516
373.25,18.7999992370605,194.5
371.890014648438,18.2000007629395,194.600006103516
372.299987792969,18.7000007629395,194.100006103516
377.899993896484,19.7000007629395,195.5
376.399993896484,18.3999996185303,198.300003051758
373.690002441406,18.7999992370605,194.5
365.890014648438,19.2000007629395,191.100006103516
373.75,19.8999996185303,193.899993896484
374.140014648438,18.7999992370605,193.5
378.029998779297,19.7999992370605,195.399993896484
368.570007324219,18.7999992370605,192
370.839996337891,18.2999992370605,193.199996948242
376.75,20.2999992370605,194.199996948242
374.820007324219,18.2000007629395,196.199996948242
384.420013427734,20.2999992370605,200
381.339996337891,19.6000003814697,197.199996948242
375.380004882812,19.5,195.100006103516
377.079986572266,19.6000003814697,196.899993896484
376.369995117188,20.7000007629395,195.5
373.890014648438,19.8999996185303,195.899993896484
374.049987792969,19.5,195.600006103516
373.5,19.5,195
379.179992675781,19.7999992370605,197.600006103516
380.899993896484,20,198
376.25,19.2999992370605,197.100006103516
376.440002441406,18.1000003814697,198
372.929992675781,19.7000007629395,193.600006103516
373.399993896484,19.6000003814697,195.100006103516
378.25,20,198.100006103516
380.549987792969,20,198.800003051758
373.890014648438,17.2000007629395,194.100006103516
375.570007324219,18.3999996185303,194
381.209991455078,21.7000007629395,193.5
376.350006103516,18.3999996185303,194.399993896484
372.670013427734,17.2999992370605,193.699996948242
378.299987792969,20.6000003814697,193.100006103516
374.709991455078,18.6000003814697,193.600006103516
378.470001220703,19.2999992370605,196.199996948242
375.619995117188,17.8999996185303,194.600006103516
375.910003662109,17.8999996185303,196.300003051758
371.989990234375,18.2000007629395,192.5
376.690002441406,20,193.199996948242
376.619995117188,20.6000003814697,194.600006103516
379.160003662109,19.3999996185303,193.199996948242
380.540008544922,19.7999992370605,193.899993896484
373.989990234375,17.7000007629395,192.5
374.440002441406,18.2000007629395,194.199996948242
377.630004882812,19.1000003814697,193.699996948242
377.829986572266,19.2999992370605,193.600006103516
375.029998779297,19.6000003814697,194.600006103516
378.029998779297,20.7999992370605,157.5
370.649993896484,19.1000003814697,234.800003051758
377.380004882812,20.3999996185303,158.199996948242
377.519989013672,19.3999996185303,176
379.170013427734,22.6000003814697,160.899993896484
373.970001220703,18.6000003814697,158.800003051758
378.799987792969,20.7999992370605,186.100006103516
381.730010986328,19.7999992370605,187.5
376.660003662109,18.8999996185303,171.899993896484
380.679992675781,19.6000003814697,185.100006103516
382.630004882812,19.2000007629395,177
383.809997558594,19.2000007629395,175.399993896484
385.200012207031,20,187.800003051758
380.410003662109,18.7000007629395,188.600006103516
